year,session,code,unit,max_mark,UMS_100,A*,A,B,C,D,E
2025,June,PS03,PSYCHOLOGY UNIT 3,90,76,69,62,55,48,41,34
2025,June,PS04,PSYCHOLOGY UNIT 4,90,78,70,62,54,47,40,33
2025,January,BL01,BIOLOGY UNIT 1,75,64,,52,46,41,36,31
2025,January,BL02,BIOLOGY UNIT 2,75,56,,46,41,36,32,28
2025,January,BL03,BIOLOGY UNIT 3,75,56,51,46,41,36,32,28
2025,January,BL04,BIOLOGY UNIT 4,75,58,53,48,43,38,33,28
2025,January,BL05,BIOLOGY UNIT 5,75,57,52,47,42,37,33,29
2025,January,BU01,BUSINESS UNIT 1,80,70,,56,49,42,35,28
2025,January,BU02,BUSINESS UNIT 2,80,67,,53,46,39,32,25
2025,January,BU03,BUSINESS UNIT 3,80,69,62,55,48,41,34,27
2025,January,BU04,BUSINESS UNIT 4,80,77,69,61,53,45,38,31
2025,January,CH01,CHEMISTRY UNIT 1,70,66,,54,48,42,36,30
2025,January,CH02,CHEMISTRY UNIT 2,70,67,,53,46,39,32,26
2025,January,CH03,CHEMISTRY UNIT 3,80,76,68,60,52,44,36,29
2025,January,CH04,CHEMISTRY UNIT 4,80,78,70,62,54,47,40,33
2025,January,CH05,CHEMISTRY UNIT 5,60,58,52,46,40,34,29,24
2025,January,EC01,ECONOMICS UNIT 1,80,75,,59,51,43,35,27
2025,January,EC02,ECONOMICS UNIT 2,80,72,,58,51,44,37,30
2025,January,EC03,ECONOMICS UNIT 3,90,80,72,64,56,48,40,33
2025,January,EC04,ECONOMICS UNIT 4,90,81,73,65,57,49,41,33
2025,January,EN01,ENGLISH LANGUAGE UNIT 1,50,49,,39,34,29,25,21
2025,January,EN02,ENGLISH LANGUAGE UNIT 2,50,45,,37,33,29,25,21
2025,January,EN03,ENGLISH LANGUAGE UNIT 3,50,49,44,39,34,29,25,21
2025,January,EN04A,ENGLISH LANGUAGE UNIT 4A,50,,45,40,35,30,25,20
2025,January,FM01,FURTHER MATHS UNIT 1 (FP1),80,,,63,54,45,37,29
