year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2020,Nov,8683,PANJABI,WH,60,51,46,41,34,28,22,19,0,0,0
2020,Nov,8688,POLISH,LF,40,0,0,0,0,33,32,22,12,3,0
2020,Nov,8688,POLISH,LF,60,0,0,0,0,50,48,33,18,5,0
2020,Nov,8688,POLISH,LH,50,45,41,38,36,34,32,31,0,0,0
2020,Nov,8688,POLISH,LH,60,54,49,46,43,41,38,37,0,0,0
2020,Nov,8688,POLISH,RF,60,0,0,0,0,43,39,27,15,4,0
2020,Nov,8688,POLISH,RH,60,50,45,40,37,34,32,31,0,0,0
2020,Nov,8688,POLISH,WF,50,0,0,0,0,32,28,20,12,5,0
2020,Nov,8688,POLISH,WF,60,0,0,0,0,38,34,24,14,6,0
2020,Nov,8688,POLISH,WH,60,50,45,40,35,30,26,24,0,0,0
2020,Nov,8698,SPANISH,LF,40,0,0,0,0,22,18,13,8,3,0
2020,Nov,8698,SPANISH,LF,60,0,0,0,0,33,27,20,12,5,0
2020,Nov,8698,SPANISH,LH,50,36,28,21,17,14,11,9,0,0,0
2020,Nov,8698,SPANISH,LH,60,43,34,25,20,17,13,11,0,0,0
2020,Nov,8698,SPANISH,RF,60,0,0,0,0,32,26,18,11,4,0
2020,Nov,8698,SPANISH,RH,60,48,41,35,30,25,20,17,0,0,0
2020,Nov,8698,SPANISH,WF,50,0,0,0,0,33,29,20,11,3,0
2020,Nov,8698,SPANISH,WF,60,0,0,0,0,40,35,24,13,4,0
2020,Nov,8698,SPANISH,WH,60,52,47,43,36,29,23,20,0,0,0
2020,Nov,8700,ENGLISH LANGUAGE,1,80,62,57,52,46,40,34,24,15,6,0
2020,Nov,8700,ENGLISH LANGUAGE,2,80,61,56,51,45,39,34,24,15,6,0
2020,Nov,8702,ENGLISH LITERATURE,1,64,55,49,43,37,31,25,18,11,4,0
2020,Nov,8702,ENGLISH LITERATURE,2,96,83,74,66,56,46,36,25,15,5,0
2021,Nov,8035,GEOGRAPHY,1,88,61,55,49,42,35,29,22,15,8,0
2021,Nov,8035,GEOGRAPHY,2,88,59,52,45,38,31,25,18,11,5,0
2021,Nov,8035,GEOGRAPHY,3,56,38,34,30,26,22,19,13,8,3,0
2021,Nov,8035,GEOGRAPHY,3,76,52,46,41,36,31,26,18,11,4,0
2021,Nov,8062,RELIGIOUS STUDIES A,11,51,45,42,39,35,31,26,19,12,6,0
2021,Nov,8062,RELIGIOUS STUDIES A,13,51,44,40,37,33,29,25,18,12,6,0
2021,Nov,8062,RELIGIOUS STUDIES A,14,51,40,35,31,27,23,18,14,10,6,0
2021,Nov,8062,RELIGIOUS STUDIES A,15,51,46,43,40,36,32,27,20,13,6,0
2021,Nov,8062,RELIGIOUS STUDIES A,16,51,42,38,35,30,25,20,15,10,6,0
2021,Nov,8062,RELIGIOUS STUDIES A,17,51,44,40,36,31,26,22,16,11,6,0
2021,Nov,8062,RELIGIOUS STUDIES A,2A,99,85,78,71,63,55,46,34,22,11,0
2021,Nov,8063,RELIGIOUS STUDIES B,1,99,86,77,69,59,49,40,29,18,8,0
2021,Nov,8063,RELIGIOUS STUDIES B,2A,48,42,38,35,31,27,23,17,11,5,0
2021,Nov,8063,RELIGIOUS STUDIES B,2B,48,42,38,34,29,24,20,15,10,5,0
2021,Nov,8063,RELIGIOUS STUDIES B,2Y,54,48,44,40,35,30,25,18,11,4,0
2021,Nov,8100,CITIZENSHIP STUDIES,1,80,63,57,52,45,38,31,22,14,6,0
2021,Nov,8100,CITIZENSHIP STUDIES,2,80,62,56,50,43,36,29,21,14,7,0
2021,Nov,8132,BUSINESS,1,90,68,63,58,51,44,37,27,17,7,0
2021,Nov,8132,BUSINESS,2,90,66,60,55,48,41,35,25,15,6,0
2021,Nov,8136,ECONOMICS,1,80,63,58,54,48,42,35,26,18,10,0
2021,Nov,8136,ECONOMICS,2,80,59,54,49,42,35,28,21,14,8,0
2021,Nov,8145,HISTORY,1A/A,40,28,25,22,19,16,13,9,5,2,0
2021,Nov,8145,HISTORY,1A/B,40,29,26,24,21,18,16,11,6,2,0
2021,Nov,8145,HISTORY,1A/C,40,27,24,21,18,15,12,8,5,2,0
2021,Nov,8145,HISTORY,1A/D,40,27,24,21,18,15,12,8,5,2,0
2021,Nov,8145,HISTORY,1B/A,44,28,24,21,17,13,10,7,5,3,0
2021,Nov,8145,HISTORY,1B/B,44,29,26,23,19,15,12,8,5,2,0
2021,Nov,8145,HISTORY,1B/C,44,32,29,26,22,18,13,9,5,2,0
2021,Nov,8145,HISTORY,1B/D,44,32,29,26,22,18,15,11,7,3,0
2021,Nov,8145,HISTORY,2A/A,40,26,23,20,17,14,11,8,5,2,0
2021,Nov,8145,HISTORY,2A/B,40,24,21,18,14,10,7,5,3,2,0
2021,Nov,8145,HISTORY,2A/C,40,27,24,22,18,14,10,7,4,2,0
2021,Nov,8145,HISTORY,2B/A,40,24,20,16,13,10,8,6,4,2,0
2021,Nov,8145,HISTORY,2B/B,40,26,22,19,16,13,11,8,5,2,0
2021,Nov,8145,HISTORY,2B/C,40,26,22,19,16,13,9,6,4,2,0
2021,Nov,8145,HISTORY,2B/D,40,26,22,19,16,13,10,7,4,2,0
2021,Nov,8182,PSYCHOLOGY,1,100,71,63,55,47,39,30,22,14,7,0
2021,Nov,8182,PSYCHOLOGY,2,100,71,63,55,47,39,31,23,15,8,0
2021,Nov,8192,SOCIOLOGY,1,100,67,61,56,48,40,32,23,14,5,0
2021,Nov,8192,SOCIOLOGY,2,100,60,53,47,40,33,26,18,11,4,0
2021,Nov,8201,"ART & DESIGN (ART, CRAFT & DES)",XE,96,81,74,67,57,47,38,27,16,6,0
2021,Nov,8202,ART & DESIGN (FINE ART),XE,96,81,74,67,57,47,38,27,16,6,0
2021,Nov,8206,ART & DESIGN (PHOTOGRAPHY),XE,96,81,74,67,57,47,38,27,16,6,0
2021,Nov,8236,DANCE,W,80,47,42,37,31,25,20,15,10,5,0
2021,Nov,8261,DRAMA,W,80,61,53,45,37,29,22,17,12,7,0
2021,Nov,8271,MUSIC,W,96,62,54,46,38,30,22,17,12,8,0
2021,Nov,8300,MATHEMATICS,1F,80,0,0,0,0,49,37,27,17,8,0
2021,Nov,8300,MATHEMATICS,1H,80,64,51,39,30,21,12,7,0,0,0
2021,Nov,8300,MATHEMATICS,2F,80,0,0,0,0,48,36,26,16,7,0
2021,Nov,8300,MATHEMATICS,2H,80,63,50,38,29,20,11,6,0,0,0
2021,Nov,8300,MATHEMATICS,3F,80,0,0,0,0,48,35,26,17,8,0
2021,Nov,8300,MATHEMATICS,3H,80,65,53,42,32,22,11,5,0,0,0
2021,Nov,8382,STATISTICS,1F,80,0,0,0,0,41,34,25,16,7,0
2021,Nov,8382,STATISTICS,1H,80,65,57,50,40,30,21,16,0,0,0
2021,Nov,8382,STATISTICS,2F,80,0,0,0,0,43,37,28,20,12,0
2021,Nov,8382,STATISTICS,2H,80,64,56,49,40,31,21,16,0,0,0
2021,Nov,8461,BIOLOGY,1F,100,0,0,0,0,63,55,39,24,9,0
2021,Nov,8461,BIOLOGY,1H,100,67,59,52,44,36,28,24,0,0,0
2021,Nov,8461,BIOLOGY,2F,100,0,0,0,0,56,47,34,21,9,0
2021,Nov,8461,BIOLOGY,2H,100,63,54,46,37,28,20,16,0,0,0
2021,Nov,8462,CHEMISTRY,1F,100,0,0,0,0,61,50,36,22,9,0
2021,Nov,8462,CHEMISTRY,1H,100,68,57,47,38,29,20,15,0,0,0
2021,Nov,8462,CHEMISTRY,2F,100,0,0,0,0,61,50,36,22,9,0
2021,Nov,8462,CHEMISTRY,2H,100,70,59,49,39,29,19,14,0,0,0
2021,Nov,8463,PHYSICS,1F,100,0,0,0,0,63,53,38,23,8,0
2021,Nov,8463,PHYSICS,1H,100,75,66,57,46,35,24,18,0,0,0
2021,Nov,8463,PHYSICS,2F,100,0,0,0,0,59,47,34,21,8,0
2021,Nov,8463,PHYSICS,2H,100,67,56,45,36,27,19,15,0,0,0
