year,session,code,unit,max_mark,a*,a,b,c,d,e,u
2026,Jan,WMA12,Unit 2: Pure Mathematics 2,75,,51,45,39,33,28,0
2026,Jan,WMA12,Unit 2A: Pure Mathematics 2,75,,51,45,39,33,28,0
2026,Jan,WMA13,Unit 3: Pure Mathematics 3,75,66,59,52,46,40,34,0
2026,Jan,WMA13,Unit 3A: Pure Mathematics 3,75,64,57,50,44,38,32,0
2026,Jan,WMA14,Unit 4: Pure Mathematics 4,75,65,57,49,41,34,27,0
2026,Jan,WMA14,Unit 4A: Pure Mathematics 4,75,62,55,48,41,34,27,0
2026,Jan,WME01,Unit 1: Mechanics 1,75,,60,51,43,35,27,0
2026,Jan,WME01,Unit 1A: Mechanics 1,75,,61,52,43,35,27,0
2026,Jan,WME02,Unit 2: Mechanics 2,75,67,59,51,43,36,29,0
2026,Jan,WME02,Unit 2A: Mechanics 2,75,69,64,56,48,41,34,0
2026,Jan,WME03,Unit 3: Mechanics 3,75,68,62,53,45,37,29,0
2026,Jan,WME03,Unit 3A: Mechanics 3,75,69,64,55,46,37,29,0
2026,Jan,WPH11,Unit 1: Mechanics and Materials,80,,59,52,46,40,34,0
2026,Jan,WPH11,Unit 1A: Mechanics and Materials,80,,59,52,46,40,34,0
2026,Jan,WPH12,Unit 2: Waves and Electricity,80,,58,51,44,37,31,0
2026,Jan,WPH12,Unit 2A: Waves and Electricity,80,,58,51,44,37,31,0
2026,Jan,WPH13,Unit 3: Practical Skills in Physics I,50,,36,32,28,24,21,0
2026,Jan,WPH13,Unit 3A: Practical Skills in Physics I,50,,36,32,28,24,21,0
2026,Jan,WPH14,"Unit 4: Further Mechanics, Fields and Particles",90,80,71,62,54,46,38,0
2026,Jan,WPH14,"Unit 4A: Further Mechanics, Fields and Particles",90,80,72,64,56,48,40,0
2026,Jan,WPH15,"Unit 5: Thermodynamics, Radiation, Oscillations and Cosmology",90,79,71,63,55,47,39,0
2026,Jan,WPH15,"Unit 5A: Thermodynamics, Radiation, Oscillations and Cosmology",90,79,71,63,55,47,39,0
2026,Jan,WPH16,Unit 6: Practical Skills in Physics II,50,43,38,33,28,23,18,0
2026,Jan,WPH16,Unit 6A: Practical Skills in Physics II,50,44,39,34,29,24,19,0
2026,Jan,WPS01,Unit 1: Social and cognitive psychology,64,,32,28,24,20,17,0
2026,Jan,WPS02,"Unit 2: Biological psychology, learning theories and development",96,,43,35,28,21,14,0
2026,Jan,WPS03,Unit 3: Applications of psychology,64,35,31,27,23,19,15,0
2026,Jan,WPS04,Unit 4: Clinical psychology and psychological skills,96,46,39,32,26,20,14,0
2026,Jan,WSP01,Unit 1: Spoken Expression and Response,40,,30,26,22,19,16,0
2026,Jan,WSP02,Unit 2: Understanding and Written Response,90,,68,60,52,44,37,0
2026,Jan,WSP03,Unit 3: Understanding and Spoken Response,40,35,31,27,23,19,16,0
2026,Jan,WSP04,"Unit 4: Research, Understanding and Written Response",90,79,69,59,50,41,32,0
2026,Jan,WST01,Unit 1: Statistics 1,75,,66,56,46,36,27,0
2026,Jan,WST01,Unit 1A: Statistics 1,75,,57,49,41,33,25,0
2026,Jan,WST02,Unit 2: Statistics 2,75,67,60,51,42,33,25,0
2026,Jan,WST02,Unit 2A: Statistics 2,75,66,58,49,40,32,24,0
2026,Jan,WST03,Unit 3: Statistics 3,75,70,65,55,46,37,28,0
2026,Jan,WST03,Unit 3A: Statistics 3,75,69,63,55,47,39,31,0
2025,Oct,WAC11,Unit 1: The Accounting System and Costing,200,,138,118,98,79,60,0
2025,Oct,WAC11,Unit 1A: The Accounting System and Costing,200,,126,105,84,64,44,0
2025,Oct,WAC12,Unit 2: Corporate and Management Accounting,200,178,159,140,121,102,84,0
2025,Oct,WAC12,Unit 2A: Corporate and Management Accounting,200,168,149,130,111,92,74,0
2025,Oct,WBI11,"Unit 1: Molecules, Diet, Transport and Health",80,,53,47,41,35,29,0
2025,Oct,WBI11,"Unit 1A: Molecules, Diet, Transport and Health",80,,53,47,41,35,29,0
2025,Oct,WBI12,"Unit 2: Cells, Development, Biodiversity and Conservation",80,,55,48,41,35,29,0
2025,Oct,WBI12,"Unit 2A: Cells, Development, Biodiversity and Conservation",80,,55,48,41,35,29,0
2025,Oct,WBI13,Unit 3: Practical Skills in Biology I,50,,40,35,30,25,21,0
2025,Oct,WBI13,Unit 3A: Practical Skills in Biology I,50,,40,35,30,25,21,0
2025,Oct,WBI14,"Unit 4: Energy, Environment, Microbiology and Immunity",90,60,54,48,43,38,33,0
2025,Oct,WBI14,"Unit 4A: Energy, Environment, Microbiology and Immunity",90,60,54,48,43,38,33,0
2025,Oct,WBI15,"Unit 5: Respiration, Internal Environment, Coordination and Gene Technology",90,67,60,53,47,41,35,0
2025,Oct,WBI16,Unit 6: Practical Skills in Biology II,50,45,40,35,31,27,23,0
2025,Oct,WBI16,Unit 6A: Practical Skills in Biology II,50,45,40,35,31,27,23,0
2025,Oct,WBS11,Unit 1: Marketing and People,80,,55,49,44,39,34,0
2025,Oct,WBS11,Unit 1A: Marketing and People,80,,55,49,44,39,34,0
2025,Oct,WBS12,Unit 2: Managing Business Activities,80,,53,48,43,38,33,0
2025,Oct,WBS12,Unit 2A: Managing Business Activities,80,,53,48,43,38,33,0
2025,Oct,WBS13,Unit 3: Business Decisions And Strategy,80,47,42,37,33,29,25,0
2025,Oct,WBS13,Unit 3A: Business Decisions And Strategy,80,47,42,37,33,29,25,0
2025,Oct,WBS14,Unit 4: Global Business,80,59,52,45,38,31,25,0
2025,Oct,WBS14,Unit 4A: Global Business,80,59,52,45,38,31,25,0
2025,Oct,WCH11,"Unit 1: Structure, Bonding and Introducttion to Organic Chemistry",80,,64,56,48,40,33,0
2025,Oct,WCH11,"Unit 1A: Structure, Bonding and Introducttion to Organic Chemistry",80,,64,56,48,40,33,0
2025,Oct,WCH12,"Unit 2: Energetics, Group Chemistry, Halogenoalkanes and Alcohol",80,,60,52,44,36,29,0
2025,Oct,WCH12,"Unit 2A: Energetics, Group Chemistry, Halogenoalkanes and Alcohol",80,,60,52,44,36,29,0
2025,Oct,WCH13,Unit 3: Practical Skills in Chemistry I,50,,34,29,25,21,17,0
2025,Oct,WCH13,Unit 3A: Practical Skills in Chemistry I,50,,34,29,25,21,17,0
2025,Oct,WCH14,"Unit 4: Rates, Equilibria and Further Organic Chemistry",90,70,61,52,43,35,27,0
2025,Oct,WCH14,"Unit 4A: Rates, Equilibria and Further Organic Chemistry",90,81,73,64,55,47,39,0
2025,Oct,WCH15,Unit 5: Transition Metals and Organic Nitrogen Chemistry,90,69,62,55,48,41,35,0
2025,Oct,WCH15,Unit 5A: Transition Metals and Organic Nitrogen Chemistry,90,69,62,55,48,41,35,0
2025,Oct,WCH16,Unit 6: Practical Skills in Chemistry II,50,44,40,36,32,28,25,0
2025,Oct,WCH16,Unit 6A: Practical Skills in Chemistry II,50,44,40,36,32,28,25,0
2025,Oct,WEC11,Unit 1: Markets in Action,80,,50,45,40,35,31,0
2025,Oct,WEC11,Unit 1A: Markets in Action,80,,53,47,41,35,30,0
2025,Oct,WEC12,Unit 2: Macroeconomic Performance and Policy,80,,50,45,40,35,31,0
2025,Oct,WEC12,Unit 2A: Macroeconomic Performance and Policy,80,,56,50,45,40,35,0
2025,Oct,WEC13,Unit 3: Business Behaviour,80,57,52,47,42,37,33,0
2025,Oct,WEC13,Unit 3A: Business Behaviour,80,57,52,47,42,37,33,0
2025,Oct,WEC14,Unit 4: Developments in the Global Economy,80,60,54,48,42,36,31,0
2025,Oct,WEC14,Unit 4A: Developments in the Global Economy,80,60,54,48,42,36,31,0
2025,Oct,WMA11,Unit 1: Pure Mathematics 1,75,,57,50,43,36,29,0
